family,pair,cluster,amplicon_bp,amplicons_total,amplicons_on_family,amplicons_off_family,off_family_designed_window,off_family_le2mm,off_family_0mm,off_family_fwd_rev
Harlequin-int,Harlequin-int_pair0,5,83,41,40,1,1,0,0,1
Harlequin-int,Harlequin-int_pair1,7,110,21,7,14,11,11,0,14
Harlequin-int,Harlequin-int_pair2,1,117,33,26,7,7,0,0,7
Harlequin-int,Harlequin-int_pair3,5,149,37,35,2,2,2,0,2
Harlequin-int,Harlequin-int_pair4,5,90,3,2,1,1,0,0,1
Harlequin-int,Harlequin-int_pair5,3,83,2,1,1,1,0,0,1
MER21C,MER21C_pair0,2,143,20,19,1,0,1,0,1
MER21C,MER21C_pair1,8,82,16,13,3,3,0,0,3
MER21C,MER21C_pair2,-1,137,0,0,0,0,0,0,0
MER21C,MER21C_pair3,0,116,16,10,6,6,1,0,6
MER21C,MER21C_pair4,0,98,11,7,4,4,0,0,4
MER21C,MER21C_pair5,8,119,10,7,3,3,0,0,3
