kmer,n_neighbors,min_cluster_size,min_samples,n_clusters,noise_frac,in_target
5,50,2000,25,5,0.07242269131519946,True
5,50,2000,10,5,0.07563771733152841,True
5,50,2000,5,5,0.09205127120436567,True
5,50,2000,1,5,0.09293963365624604,True
7,50,2000,25,5,0.16845044206607723,True
5,50,1000,5,6,0.18177587884428276,True
5,50,1000,1,6,0.18266424129616313,True
6,100,2000,5,5,0.21151486949532552,True
6,100,2000,25,5,0.21151486949532552,True
7,50,2000,10,5,0.2116840813909218,True
7,50,2000,1,5,0.21874867803206566,True
5,30,1000,5,6,0.2191717077710563,True
5,30,1000,1,6,0.21925631371885443,True
6,100,2000,1,5,0.21951013156224883,True
6,100,2000,10,5,0.21951013156224883,True
7,50,2000,5,5,0.22179449215279834,True
6,50,1000,25,6,0.2487837895004019,True
7,100,2000,25,5,0.26578958500782607,True
7,50,1000,25,6,0.2663395236685139,True
7,100,2000,5,5,0.2700621853716316,True
5,100,2000,5,5,0.2719235162231905,True
5,100,2000,25,5,0.2719235162231905,True
7,100,2000,10,5,0.27340412030965777,True
7,50,1000,10,6,0.2769152671432802,True
7,50,1000,1,6,0.28169550319387454,True
7,50,1000,5,6,0.2817378061677736,True
5,100,2000,1,5,0.29624772621515294,True
7,100,2000,1,5,0.3043275942298744,True
6,15,1000,10,5,0.3158340031304201,True
6,15,1000,5,5,0.322940902745463,True
6,50,2000,25,5,0.3250137484665172,True
5,100,2000,10,5,0.3260713228139938,True
6,15,1000,1,5,0.32822877448284615,True
6,50,2000,10,5,0.33322052540293584,True
5,30,1000,25,6,0.33558949194128346,True
6,50,2000,5,5,0.33939675959219934,True
5,30,1000,10,6,0.3468420829984348,True
6,30,1000,5,6,0.358686915690173,True
6,30,1000,1,6,0.36325563687127205,True
6,15,1000,25,6,0.4577181775878844,True
7,15,1000,10,6,0.5262066923304708,True
7,15,1000,5,6,0.5275603874952409,True
7,15,1000,25,6,0.528914082660011,True
7,15,1000,1,6,0.5591607089978425,True
5,50,500,25,16,0.021489910740725073,False
5,100,500,25,15,0.05220186979144634,False
5,100,500,5,16,0.05533228985997716,False
5,100,1000,5,10,0.0577012563983248,False
5,100,250,5,24,0.06671178983882567,False
7,100,500,1,17,0.06743094039510977,False
6,100,500,1,17,0.06895384745547611,False
7,100,500,25,17,0.06895384745547611,False
5,30,250,25,27,0.06967299801176023,False
6,100,1000,10,8,0.07047675451584247,False
7,50,250,25,23,0.07187275265451161,False
7,100,500,10,17,0.07339565971487795,False
7,100,500,5,17,0.07386099242776767,False
6,100,500,5,17,0.07496086974914336,False
6,100,250,25,28,0.07584923220102373,False
7,30,100,25,67,0.0768645035746013,False
6,100,500,25,16,0.08172934557299379,False
5,100,1000,1,9,0.08202546639028724,False
6,50,500,5,19,0.08346376750285545,False
6,50,500,1,19,0.08701721731037693,False
5,50,500,10,18,0.08985151656161428,False
7,100,50,1,166,0.09002072845721054,False
6,15,100,5,71,0.09018994035280681,False
6,15,250,25,31,0.09040145522230213,False
6,50,500,10,19,0.09073987901349465,False
6,50,500,25,17,0.0914167265958797,False
7,30,250,25,27,0.09238969499555819,False
7,15,100,10,79,0.09247430094335632,False
7,50,250,10,26,0.09293963365624604,False
6,100,500,10,18,0.09336266339523669,False
6,15,250,5,32,0.09522399424679555,False
7,30,100,1,80,0.09581623588138247,False
6,15,50,25,140,0.09869283810651888,False
6,50,250,5,31,0.10072338085367401,False
6,50,250,25,30,0.10085028977537121,False
7,100,250,10,28,0.10097719869706841,False
5,50,1000,25,7,0.10135792546215999,False
7,30,50,1,185,0.10224628791404036,False
6,100,100,1,84,0.10355768010491137,False
5,100,100,1,99,0.10372689200050764,False
6,30,250,10,28,0.10398070984390202,False
7,50,100,10,86,0.10436143660899361,False
5,100,1000,10,11,0.10503828419137866,False
5,50,1000,10,7,0.10533440500867211,False
7,50,500,25,15,0.10575743474766276,False
7,50,500,10,15,0.1064342823300478,False
7,100,100,5,81,0.10677270612124032,False
7,30,50,10,161,0.10749185667752444,False
6,50,100,5,83,0.10787258344261602,False
7,100,50,5,149,0.1081264012860104,False
6,15,250,10,33,0.10816870425990947,False
6,100,250,5,32,0.10850712805110199,False
7,100,100,10,78,0.10854943102500106,False
7,100,100,1,88,0.10863403697279919,False
7,50,250,5,30,0.10905706671178984,False
7,15,100,1,81,0.10986082321587208,False
5,100,50,1,163,0.10998773213756927,False
5,100,500,10,16,0.11028385295486273,False
7,30,100,10,85,0.1103261559287618,False
6,15,100,25,75,0.11036845890266085,False
5,100,250,25,30,0.1116375481196328,False
6,50,250,10,31,0.11269512246710944,False
5,30,50,1,169,0.11282203138880663,False
7,30,100,5,83,0.11349887897119168,False
5,100,100,10,85,0.1138373027623842,False
6,100,100,5,79,0.11417572655357672,False
6,50,100,25,84,0.11434493844917298,False
6,15,50,10,159,0.11485257413596175,False
6,30,50,25,140,0.11485257413596175,False
7,15,100,25,79,0.11485257413596175,False
6,15,50,1,182,0.1152756038749524,False
5,50,500,1,19,0.1154025127966496,False
6,15,50,5,168,0.11569863361394306,False
7,50,50,5,166,0.1167562079614197,False
6,100,100,10,85,0.11692541985701595,False
7,100,250,1,29,0.11696772283091501,False
7,50,50,1,168,0.11717923770041033,False
6,30,50,10,164,0.11730614662210753,False
7,30,50,5,175,0.1173484495960066,False
7,50,500,1,17,0.11785608528279538,False
7,50,100,5,85,0.11887135665637294,False
5,100,1000,25,9,0.11908287152586827,False
5,15,50,1,179,0.11954820423875799,False
7,15,100,5,87,0.11963281018655611,False
7,100,250,5,30,0.12064808156013368,False
6,30,250,5,21,0.12140953509031685,False
6,15,500,5,18,0.12145183806421592,False
5,50,100,1,95,0.12149414103811498,False
7,100,250,25,30,0.12174795888150937,False
5,50,250,5,29,0.12221329159439909,False
7,50,50,10,159,0.12221329159439909,False
6,50,50,5,163,0.1225517153855916,False
6,50,50,1,185,0.12259401835949067,False
7,30,250,10,26,0.12259401835949067,False
5,15,50,10,162,0.12360928973306823,False
5,50,100,10,89,0.1239054105503617,False
5,30,100,25,80,0.12407462244595795,False
5,50,100,25,87,0.12428613731545328,False
6,50,50,10,162,0.124751470028343,False
6,15,100,10,80,0.12496298489783832,False
7,50,50,25,137,0.12500528787173737,False
6,30,50,1,184,0.12530140868903084,False
7,50,100,25,84,0.12530140868903084,False
5,100,100,5,93,0.1261897711409112,False
6,30,250,25,25,0.1263166800626084,False
7,100,100,25,67,0.12682431574939718,False
7,15,50,1,186,0.12686661872329624,False
5,15,500,1,20,0.12745886035788315,False
5,50,50,1,167,0.1275011633317822,False
5,50,500,5,21,0.12758576927958035,False
6,100,100,25,85,0.12771267820127755,False
5,30,50,5,160,0.128008799018571,False
6,50,100,1,95,0.12889716147045138,False
7,15,250,5,32,0.12893946444435045,False
6,50,250,1,31,0.12987012987012986,False
5,50,250,1,28,0.13012394771352426,False
6,100,250,1,32,0.1309277042176065,False
6,100,50,1,168,0.1311815220610009,False
6,15,500,10,18,0.13194297559118406,False
6,30,100,10,70,0.1321544904606794,False
5,30,100,10,88,0.13245061127797284,False
6,30,100,5,71,0.13266212614746817,False
5,15,50,5,176,0.13291594399086257,False
7,50,100,1,93,0.13316976183425694,False
5,50,100,5,95,0.13338127670375227,False
5,100,100,25,85,0.13338127670375227,False
6,100,50,10,145,0.13342357967765134,False
6,50,100,10,85,0.13376200346884387,False
7,15,50,5,176,0.13469266889462328,False
7,100,50,10,146,0.13469266889462328,False
5,15,50,25,150,0.13473497186852235,False
6,15,250,1,34,0.13520030458141208,False
6,100,1000,5,7,0.1352849105292102,False
6,100,1000,25,7,0.1352849105292102,False
7,15,250,10,32,0.1352849105292102,False
7,30,50,25,157,0.13532721350310928,False
6,15,100,1,86,0.13591945513769618,False
5,30,250,5,30,0.1362578789288887,False
5,30,100,1,95,0.13634248487668682,False
5,100,250,10,32,0.13634248487668682,False
5,15,100,25,80,0.13718854435466812,False
7,15,50,25,143,0.13718854435466812,False
5,50,50,5,157,0.13765387706755786,False
5,30,50,10,156,0.13769618004145692,False
6,30,100,25,71,0.1380769068065485,False
7,15,250,1,31,0.1389229662845298,False
6,100,250,10,32,0.13998054063200643,False
6,100,50,25,136,0.14031896442319894,False
7,15,50,10,170,0.14078429713608867,False
5,30,250,10,28,0.1410804179533821,False
5,30,100,5,82,0.14112272092728118,False
6,100,50,5,156,0.1419264774313634,False
6,50,1000,5,9,0.14209568932695968,False
6,50,50,25,147,0.14294174880494098,False
5,50,50,10,155,0.14344938449172978,False
5,15,250,1,31,0.14387241423072042,False
5,50,250,10,30,0.14467617073480266,False
5,100,500,1,18,0.14505689749989426,False
5,15,100,5,90,0.1454799272388849,False
5,100,50,10,148,0.14649519861246246,False
5,30,250,1,29,0.14653750158636153,False
5,100,50,5,150,0.14890646812470917,False
5,100,50,25,130,0.14894877109860824,False
5,15,100,10,82,0.14937180083759888,False
7,100,50,25,133,0.14941410381149794,False
5,100,250,1,32,0.15064089005457085,False
7,50,500,5,17,0.15064089005457085,False
6,30,500,5,15,0.15241761495833156,False
5,30,50,25,145,0.15267143280172596,False
6,30,100,1,87,0.15292525064512036,False
6,30,50,5,185,0.15296755361901943,False
7,30,250,5,32,0.15584415584415584,False
5,50,50,25,147,0.15994754431236516,False
7,50,250,1,31,0.16282414653750157,False
7,15,250,25,30,0.16312026735479504,False
5,50,250,25,31,0.16379711493718008,False
5,30,500,5,17,0.1640086298066754,False
7,30,250,1,31,0.16663141418841745,False
6,30,500,25,16,0.16878886585726977,False
5,15,100,1,94,0.16955031938745294,False
6,30,500,10,16,0.17039637886543424,False
6,50,1000,1,8,0.17170777105630525,False
5,15,250,25,35,0.1753035238377258,False
5,30,500,1,17,0.17851854985405474,False
5,15,250,5,33,0.17885697364524727,False
5,30,500,25,19,0.17944921527983418,False
6,15,500,1,18,0.18241042345276873,False
6,30,250,1,27,0.18418714835652947,False
5,15,250,10,34,0.18431405727822667,False
5,15,500,5,17,0.19205550150175557,False
6,15,500,25,18,0.1934514996404247,False
6,50,1000,10,7,0.1984432505605144,False
7,100,1000,25,7,0.19945852193409197,False
6,100,1000,1,8,0.20275815389821905,False
7,30,500,25,14,0.20466178772367696,False
7,100,1000,5,7,0.20601548288844707,False
7,100,1000,10,7,0.2093574178264732,False
5,30,500,10,18,0.2120225051821143,False
5,15,500,10,15,0.21363001819027877,False
6,30,500,1,12,0.22416345869114598,False
7,15,2000,25,2,0.23182029696687678,False
7,30,500,5,14,0.2327509623926562,False
7,100,1000,1,7,0.2402808917466898,False
7,30,500,10,12,0.2446380980582935,False
7,30,500,1,13,0.266424129616312,False
5,15,500,25,16,0.2681162485722746,False
5,30,2000,5,4,0.27357333220525404,False
7,15,500,5,15,0.2751808452134185,False
5,30,2000,1,4,0.2823300478023605,False
6,30,1000,25,7,0.28617961842717543,False
5,30,2000,25,3,0.2908329455560726,False
7,15,500,10,14,0.29442869833749313,False
5,30,2000,10,3,0.2951478488937772,False
7,15,500,1,15,0.3078810440373958,False
7,15,500,25,14,0.30843098269808367,False
5,15,1000,10,7,0.31329582469647616,False
5,15,1000,5,7,0.31473412580904436,False
7,30,1000,5,8,0.3225601759803714,False
7,30,1000,10,8,0.3284402893523415,False
