cell_line	label_src	run	biosample	spots	bases	layout	study	bioproject	consent
AsPC1	Pancreatic cancer cells AsPC1 - untreated RNA-Seq	SRR12638525	SAMN16130018	57003062	8550459300	PAIRED	SRP282356	PRJNA663345	public
B009B	Pancreatic cancer associated fibroblasts B009B - untreated RNA-Seq	SRR12638534	SAMN16130008	55017537	8252630550	PAIRED	SRP282356	PRJNA663345	public
B010A	Pancreatic cancer associated fibroblasts B0010A - untreated RNA-Seq	SRR12638535	SAMN16130007	54372620	8155893000	PAIRED	SRP282356	PRJNA663345	public
B011C	Pancreatic cancer associated fibroblasts B011C - untreated RNA-Seq	SRR12638536	SAMN16130044	35484692	5322703800	PAIRED	SRP282356	PRJNA663345	public
BF1	Pancreatic cancer associated fibroblasts BF1 - untreated RNA-Seq	SRR12638537	SAMN16130043	53588436	8038265400	PAIRED	SRP282356	PRJNA663345	public
BxPC3	Pancreatic cancer cells BxPC3 - untreated RNA-Seq	SRR12638526	SAMN16130017	50024503	7503675450	PAIRED	SRP282356	PRJNA663345	public
CAF08	Pancreatic cancer associated fibroblasts CAF08 - untreated RNA-Seq	SRR12638538	SAMN16130042	55892546	8495666992	PAIRED	SRP282356	PRJNA663345	public
CAFpool_TPL	Pancreatic cancer associated fibroblasts - triptolide treated RNA-Seq	SRR12638524	SAMN16130019	26347228	5269445600	PAIRED	SRP282356	PRJNA663345	public
CAFpool_Veh	Pancreatic cancer associated fibroblasts - Vehicle (DMSO) treated RNA-Seq	SRR12638523	SAMN16130020	26811152	5362230400	PAIRED	SRP282356	PRJNA663345	public
Capan1	Pancreatic cancer cells Capan1- untreated RNA-Seq	SRR12638527	SAMN16130016	51296547	7694482050	PAIRED	SRP282356	PRJNA663345	public
CW1	Pancreatic cancer associated fibroblasts CW1 - untreated RNA-Seq	SRR12638540	SAMN16130040	39149740	5950760480	PAIRED	SRP282356	PRJNA663345	public
CW5	Pancreatic cancer associated fibroblasts CW5 - untreated RNA-Seq	SRR12638541	SAMN16130039	47073473	7155167896	PAIRED	SRP282356	PRJNA663345	public
MIAPaCa2	Pancreatic cancer cells - MIA PaCa-2 untreated RNA-Seq	SRR12638528	SAMN16130015	29598622	8879586600	PAIRED	SRP282356	PRJNA663345	public
P4057	Pancreatic cancer cells P4057 - untreated RNA-Seq	SRR12638529	SAMN16130014	43164742	6561040784	PAIRED	SRP282356	PRJNA663345	public
PANC1	Pancreatic cancer cells PANC1 - untreated RNA-Seq	SRR12638533	SAMN16130009	33346773	5068709496	PAIRED	SRP282356	PRJNA663345	public
Patu8902	Pancreatic cancer cells Patu8902 - untreated RNA-Seq	SRR12638530	SAMN16130013	50649066	7597359900	PAIRED	SRP282356	PRJNA663345	public
Patu899S	Pancreatic cancer cells Patu899S - untreated RNA-Seq	SRR12638531	SAMN16130012	39884290	5982643500	PAIRED	SRP282356	PRJNA663345	public
PS1	Pancreatic cancer associated fibroblasts PS1 - untreated RNA-Seq	SRR12638539	SAMN16130041	49118119	7465954088	PAIRED	SRP282356	PRJNA663345	public
PSN1	Pancreatic cancer cells PSN1 - untreated RNA-Seq	SRR12638532	SAMN16130011	37970167	5771465384	PAIRED	SRP282356	PRJNA663345	public
Treat_THZ1_r1	Pancreatic cancer cells -THZ1 treated RNA-Seq Replicate 1	SRR12638521	SAMN16130022	41934088	12580226400	PAIRED	SRP282356	PRJNA663345	public
Treat_THZ1_r2	Pancreatic cancer cells -THZ1 treated RNA-Seq Replicate 2	SRR12638522	SAMN16130021	64404712	19321413600	PAIRED	SRP282356	PRJNA663345	public
Treat_TPL_r1	Pancreatic cancer cells -Triptolide treated RNA-Seq Replicate 1	SRR12638519	SAMN16130024	69938708	20981612400	PAIRED	SRP282356	PRJNA663345	public
Treat_TPL_r2	Pancreatic cancer cells -Triptolide treated RNA-Seq Replicate 2	SRR12638520	SAMN16130023	70935813	21280743900	PAIRED	SRP282356	PRJNA663345	public
Treat_Veh_r1	Pancreatic cancer cells - Vehicle (DMSO) treated RNA-Seq Replicate 1	SRR12638517	SAMN16129986	40572910	12171873000	PAIRED	SRP282356	PRJNA663345	public
Treat_Veh_r2	Pancreatic cancer cells - Vehicle (DMSO) treated RNA-Seq Replicate 2	SRR12638518	SAMN16130025	47707452	14312235600	PAIRED	SRP282356	PRJNA663345	public
