chr,start,stop,strand,Cluster,pca_x,pca_y,umap_x,umap_y,tsne_x,tsne_y
chr1,3619776,3620647,+,0,20.7531,12.632173,12.224974,0.35841483,-4.880542,33.436573
chr1,3621643,3622155,+,0,11.321955,6.8863688,8.757077,0.91122115,9.827038,8.684144
chr1,13847845,13849381,+,0,35.153114,19.25266,13.76568,-4.2258844,32.92927,31.015388
chr1,13855067,13856679,+,0,38.0016,20.7386,11.693248,-3.981135,16.280287,39.39532
chr1,30075699,30077009,+,0,29.752028,18.903828,12.144909,-3.196537,9.995629,32.816917
chr1,34314697,34314831,-,2,2.3484638,-1.0838822,3.5674276,5.7848263,-17.856155,-1.627868
chr1,34678742,34679076,-,2,7.067747,-3.871463,3.794672,2.7368438,-28.582499,-22.921526
chr1,40893495,40895081,-,1,36.88219,-19.995018,-1.5790929,-4.0369787,30.38012,-28.915443
chr1,46999863,47000000,+,0,3.1550505,3.2569914,7.4917564,2.4531646,-0.7193386,10.559429
chr1,47607781,47609398,-,1,34.890823,-18.369387,-1.9526012,-3.9001236,24.10614,-30.0517
chr1,48408957,48410530,-,1,35.981457,-21.455294,-3.7587228,-3.4271338,19.901667,-50.06048
chr1,49502407,49503988,+,0,37.15469,21.093481,14.224718,-4.3441176,36.650417,29.237825
chr1,53205002,53205900,+,0,20.9324,12.052937,12.2569,0.2912262,-4.5875583,31.805199
chr1,53206203,53206920,+,0,16.575031,8.092057,9.336454,0.27032208,13.643876,8.898912
chr1,55864768,55865024,+,0,5.792112,4.2276793,7.790899,2.0516796,2.4253237,9.491165
chr1,56622814,56624073,+,0,29.082748,15.342603,10.448192,-1.0427573,17.652006,22.647385
chr1,56624370,56624493,+,-1,2.799406,2.1402411,7.3521166,2.6398218,-2.3123558,11.329343
chr1,57840860,57842468,-,1,36.685505,-21.107128,-1.8157238,-4.150605,32.81303,-31.196917
chr1,58370976,58372602,+,0,38.29099,20.72445,11.932943,-4.0846963,20.223595,39.930305
chr1,61894720,61896016,+,0,30.687843,17.12384,12.198381,-0.7573678,1.9764524,32.436054
chr1,61896309,61896632,+,0,7.3707085,4.7446704,8.102001,1.6564087,4.9455323,8.711912
chr1,63830672,63832316,-,1,37.665794,-20.286392,-1.457668,-3.6894653,27.782242,-26.738567
chr1,65737384,65737850,+,0,9.973709,7.0811357,12.282806,2.408872,-14.489992,29.111654
chr1,65744683,65745482,+,0,18.161055,6.614031,11.322598,0.08414983,-1.9991236,25.698078
chr1,66461820,66462786,+,0,21.946386,11.791348,12.172086,0.1810041,-4.3445716,31.860855
chr1,68619937,68621021,-,2,24.835056,-13.621577,0.19654723,0.626609,6.700788,-17.439724
chr1,69330852,69332492,-,1,36.45515,-18.857023,-1.4595308,-3.7753303,28.506147,-23.965633
chr1,70459988,70460424,+,2,9.917681,3.115804,6.8243804,5.800688,-35.337906,10.839507
