chr,start,stop,Cluster,kimura_div_pct,aln_length,cpg_density_pct
chr1,12816083,12816355,1,1.1905324346859278,272,0.36900369003690037
chr1,14257710,14257955,2,0.4094184426807212,245,1.2295081967213115
chr1,28985833,28986182,2,0.5753359136243434,349,1.4367816091954022
chr1,30567813,30568750,1,0.7724290484082985,937,1.0683760683760684
chr1,34566055,34572105,1,0.3628738211002921,6050,1.4547859150272773
chr1,35484807,35485000,2,0.05184033642201801,193,1.0416666666666667
chr1,41207751,41208441,1,1.480495969626858,689,1.0159651669085632
chr1,41854523,41855316,1,0.8114441851418248,793,1.1363636363636365
chr1,41855315,41855560,0,2.1200549047107407,244,0.4098360655737705
chr1,41989723,41990366,1,1.460480827107658,643,0.6230529595015576
chr1,50918191,50918966,1,0.14207887349485085,775,0.9043927648578811
chr1,56365452,56369282,0,0.24592688212577185,3830,0.7834943849569078
chr1,58114946,58115999,1,0.8788242518637857,1053,0.9505703422053232
chr1,60278376,60278642,0,1.943834846929287,261,0.7547169811320755
chr1,60278641,60279456,1,0.1474564843618193,815,1.2285012285012284
chr1,63239740,63240562,1,0.24371693010255507,822,1.0962241169305724
chr1,63240555,63242477,0,0.37554927871205007,1922,0.7808433107756377
chr1,65443956,65444209,2,0.43613209575707834,253,1.1904761904761905
chr1,67078891,67084915,2,0.2960699004789696,6024,1.5606840444960983
chr1,68734081,68736607,0,0.48056802077605915,2526,0.9108910891089109
chr1,68736693,68740136,2,0.6153624809953584,3443,1.9755955839628123
chr1,71513698,71519742,2,0.4464684133223932,6044,1.5555187820618899
chr1,72110155,72110234,0,2.5979869465355554,79,0.0
chr1,73193583,73195007,0,2.1764315689159637,1424,0.7027406886858749
chr1,74447377,74448273,1,0.4589976358045219,896,0.8938547486033519
chr1,74518881,74519571,1,0.9188788526987803,690,1.0159651669085632
chr1,77000000,77005515,1,1.699674459937714,5507,1.3601741022850924
chr1,77808135,77808220,0,1.1869890996931038,85,0.0
chr1,78243562,78245813,0,0.32505547229122617,2251,0.8
chr1,78245811,78246083,0,0.0,272,1.1070110701107012
chr1,80939203,80945257,1,0.28962449036844,6054,1.3877416157277382
chr1,82660285,82661790,0,0.4296627653296089,1494,0.7978723404255319
chr1,84052342,84052360,0,12.836879295898026,17,0.0
chr1,84052389,84058406,2,0.313164621922865,6017,1.545877659574468
chr1,85748519,85754548,2,0.3524701413332622,6029,1.4598540145985401
chr1,85927067,85933100,1,0.6142984061764665,6033,1.3759946949602122
chr1,86275299,86276007,1,0.45334747990776436,708,1.1315417256011315
chr1,86679080,86685111,2,0.400841549793489,6031,1.4096185737976783
chr1,91387590,91387929,2,0.6221475625527033,339,1.183431952662722
