chr,start,stop,strand,Cluster,pca_x,pca_y,umap_x,umap_y,tsne_x,tsne_y
chr1,1000000,1000500,+,0,17.820395,-10.371655,8.176951,3.4626036,17.820395,-10.371655
chr2,1010000,1010500,-,0,16.083866,-10.065102,8.460603,3.4694948,16.083866,-10.065102
chr3,1020000,1020500,+,0,15.743938,-8.777953,8.833223,3.0197437,15.743938,-8.777953
chr4,1030000,1030500,-,0,15.702513,-10.046543,9.161846,3.7955284,15.702513,-10.046543
chr5,1040000,1040500,+,0,15.590716,-9.014568,8.205897,4.249119,15.590716,-9.014568
chr1,1050000,1050500,-,0,15.108413,-8.820465,7.9536767,2.7536378,15.108413,-8.820465
chr2,1060000,1060500,+,0,14.673058,-8.230942,9.804105,2.480382,14.673058,-8.230942
chr3,1070000,1070500,-,0,13.876341,-7.4622717,8.528695,2.22408,13.876341,-7.4622717
chr6,2000000,2000480,+,1,12.22238,14.9745035,5.4606957,2.8936355,12.22238,14.9745035
chr7,2010000,2010480,-,1,12.773154,16.262512,6.545516,2.4283602,12.773154,16.262512
chr8,2020000,2020480,+,1,11.386826,14.35332,5.768819,3.778894,11.386826,14.35332
chr9,2030000,2030480,-,1,11.343325,13.296537,6.392174,4.3338666,11.343325,13.296537
chr10,2040000,2040480,+,1,11.922178,15.170244,5.908561,2.7801425,11.922178,15.170244
chr6,2050000,2050480,-,1,10.145054,12.514354,5.518846,1.9600916,10.145054,12.514354
chr7,2060000,2060480,+,1,10.347144,12.367122,4.853054,4.031061,10.347144,12.367122
