chr,start,stop,Cluster,kimura_div_pct,aln_length,cpg_density_pct
chr1,1409806,1410773,2,2.2579375072191588,967,2.277432712215321
chr1,1580342,1581246,2,1.6440546869881087,904,1.6611295681063123
chr1,10425394,10425655,0,4.0955635735420035,261,1.1538461538461537
chr1,10426924,10427626,2,4.316869966682049,702,2.5677603423680457
chr1,15135337,15136296,2,4.834225108861574,959,1.8789144050104385
chr1,15379017,15379976,2,1.623717107122916,959,2.0876826722338206
chr1,25587849,25588817,1,5.032548716085581,968,1.4477766287487073
chr1,29338081,29339047,2,1.9187492531776822,966,2.2797927461139897
chr1,29359332,29360290,2,1.9461307738002567,958,2.2988505747126435
chr1,33063515,33064484,0,4.453995966042305,969,0.7231404958677686
chr1,36488983,36489934,0,4.625422684950423,951,1.1578947368421053
chr1,40572025,40572994,2,4.1695735391549675,969,1.756198347107438
chr1,45513510,45514465,1,4.552778933826637,955,1.4675052410901468
chr1,45528102,45529068,2,1.3057411204277778,966,1.761658031088083
chr1,46320295,46321263,1,3.911169152571868,968,1.2409513960703207
chr1,46329762,46330515,2,5.632067479843316,753,1.8617021276595744
chr1,46788568,46789408,0,7.405934372406203,837,0.9535160905840286
chr1,46789447,46789529,0,8.05381878917513,80,0.0
chr1,52006244,52007211,2,1.8850002428353552,967,2.1739130434782608
chr1,54636120,54637097,0,5.711887389929704,977,1.3319672131147542
chr1,65139795,65140762,1,3.560179853800331,967,1.4492753623188406
chr1,66424814,66425774,1,2.512293735468516,960,1.5641293013555788
chr1,70460424,70461399,1,7.4223874533689616,972,1.7453798767967146
chr1,73129297,73130265,1,3.5507461086267034,968,1.2409513960703207
chr1,75377085,75378053,1,2.158920347898432,968,1.861427094105481
chr1,75382490,75383458,1,2.158920347898432,968,1.861427094105481
chr1,76073018,76073143,2,7.507292128862645,115,4.032258064516129
chr1,77982895,77983837,1,2.8673208260459297,942,1.9128586609989373
chr1,79702340,79703294,0,4.382149119649499,954,1.2591815320041972
chr1,89066862,89067823,2,1.7262712388737604,961,1.9791666666666667
chr1,93276781,93277749,1,2.4680831997076855,968,1.654601861427094
chr1,99835833,99836768,0,5.188986169964928,935,1.39186295503212
chr1,104134738,104135712,0,3.1042181567283986,974,1.1305241521068858
chr1,108517444,108518412,0,6.2647602478465565,968,1.1375387797311272
chr1,111359723,111360685,0,4.352924162881382,962,1.2486992715920915
chr1,114058147,114059120,0,6.208385105745422,973,1.5432098765432098
chr1,120424750,120425723,1,8.077860279718903,970,1.440329218106996
chr1,144450893,144451866,1,7.61213860905767,972,1.440329218106996
chr1,144555549,144556489,1,8.161400251259584,937,1.9169329073482428
chr1,145414872,145415845,2,7.918826696285963,973,1.8518518518518519
chr1,145932413,145933382,2,6.499971158191902,969,1.859504132231405
chr1,146381150,146382090,1,7.90563620274313,937,2.1299254526091587
chr1,146907211,146908212,1,13.00688677145132,1000,1.2
chr1,146948312,146949300,2,7.394121656993463,988,1.9250253292806485
chr1,147106116,147107077,0,5.733643039173659,961,1.4583333333333333
chr1,147240099,147241067,0,4.250677750482589,968,1.2409513960703207
chr1,147733841,147734800,0,6.364794604645985,959,1.2526096033402923
chr1,148137832,148138805,1,7.275328755910496,970,1.440329218106996
chr1,148188816,148189817,0,6.808034146038175,1001,1.4
chr1,149092876,149093849,1,7.848233422005387,970,1.337448559670782
chr1,150632807,150632885,0,2.6321866742711015,78,0.0
chr1,150634923,150635885,2,7.821747371860152,962,1.8730489073881373
chr1,152455108,152456081,1,11.089899360881022,970,1.2345679012345678
chr1,155599536,155600505,1,2.3521041035203827,969,1.859504132231405
chr1,155626665,155627633,2,2.3311399407504227,968,1.9648397104446742
chr1,155634877,155635845,2,2.2241422538665336,968,1.861427094105481
chr1,156179222,156180190,1,2.5746931693691293,968,1.861427094105481
chr1,156181460,156182421,1,3.6915660217160924,961,1.7708333333333333
chr1,159767795,159768763,1,1.9900829704654726,968,1.4477766287487073
chr1,160652138,160653095,0,3.3336036367145696,957,1.5690376569037656
chr1,160913141,160914118,0,7.915563066239288,977,1.2295081967213115
chr1,160948824,160949791,2,9.045825064553549,967,1.5527950310559007
chr1,161016834,161017804,0,8.940370169314312,970,1.5479876160990713
chr1,161315707,161316604,2,6.17452177903692,897,2.34375
chr1,188751235,188752206,2,8.998471014866583,971,1.3402061855670102
chr1,196108731,196109705,0,4.519989584958663,974,1.3360739979445015
chr1,207635111,207636074,0,6.390173170900557,963,1.3513513513513513
chr1,209141190,209142173,2,1.3549979883967573,983,2.443991853360489
chr1,224339830,224340798,1,2.3619259276714084,968,1.861427094105481
chr1,227868339,227869308,2,1.9764902488584737,969,1.5495867768595042
chr1,246082684,246083636,2,6.4579072772425015,952,2.103049421661409
chr1,247015782,247016742,2,1.5047735013588934,960,1.8769551616266944
chr10,3061468,3062440,0,5.538714825889927,972,1.4418125643666324
chr10,6824178,6825146,0,6.9278803906917945,968,1.0341261633919339
chr10,6832673,6833641,0,7.579203859862709,968,1.0341261633919339
chr10,19509806,19510764,0,3.4405954117383493,958,1.2539184952978057
chr10,26376884,26377844,0,5.437315296621234,960,1.3555787278415015
chr10,26893469,26894437,2,2.0001896559319654,968,2.171664943123061
chr10,37493324,37494293,0,5.788733355696458,969,1.0330578512396693
chr10,41713187,41714153,1,3.2267060209693805,966,1.6580310880829014
chr10,43337202,43338170,2,1.788148377779816,968,2.0682523267838677
chr10,65409229,65410196,1,2.7022556955370676,967,1.7598343685300206
chr10,68525671,68526636,2,1.920881854942768,965,2.2821576763485476
chr10,90301652,90302607,0,7.673289697489782,955,1.1530398322851152
chr10,97416845,97417535,2,3.9763441040506935,686,2.3222060957910013
