chromosome,n_loci,mean_total_expr,mean_K562_rep1,mean_K562_rep2,mean_Liver_donorA,mean_siCTRL_24h,mean_patient_07_tumor,mean_GM12878.scRNA
chr1,72,3.388,1.6728,1.6617,2.143,1.4518,1.3871,1.3853
chr2,14,3.2089,1.5879,1.4209,2.145,1.4107,1.3232,1.0378
chr10,19,3.3679,1.4702,1.734,2.2554,1.4271,1.4391,1.0809
chr11,35,3.3419,1.6813,1.5661,2.1872,1.2022,1.4462,1.2772
chr12,28,3.4122,1.7271,1.7856,2.2877,1.3594,1.2523,1.1851
chr13,11,3.3068,1.6285,1.6499,2.0789,1.5875,1.2785,1.2744
chr14,16,3.3778,1.5877,1.5022,2.2552,1.3509,1.5884,1.053
chr15,7,3.34,1.9956,1.6458,2.1355,1.3712,1.2833,0.9619
chr16,12,3.3726,1.5516,1.7036,2.2548,1.3456,1.1339,1.2063
chr17,19,3.4096,1.771,1.9445,2.0146,1.4235,1.1344,1.4992
chr18,12,3.2339,1.6278,1.3631,2.0265,1.4271,1.3617,1.1357
chr19,55,3.4253,1.6398,1.7281,2.1583,1.4934,1.4469,1.3418
