chr,start,stop,Cluster,kimura_div_pct,aln_length,cpg_density_pct
chr1,3076926,3077419,0,2.331923395588891,493,1.016260162601626
chr1,3175516,3175992,2,0.6541060790388807,476,1.4736842105263157
chr1,4712419,4712910,1,1.9060931692274456,491,0.8163265306122449
chr1,5049816,5050256,1,1.1472272538244728,440,1.366742596810934
chr1,5250001,5250494,2,1.022839522507157,493,1.2195121951219512
chr1,5255976,5256475,2,0.8067707043327769,499,1.2048192771084338
chr1,6293216,6293266,2,0.0,50,0.0
chr1,9276885,9277325,0,1.1689225306618014,440,1.1389521640091116
chr1,9380225,9380719,2,1.638915137477448,494,1.4198782961460445
chr1,9875241,9875722,2,2.6270034877764497,481,1.25
chr1,10889636,10890128,2,0.612562805176815,492,1.4256619144602851
chr1,10895579,10896071,2,0.612562805176815,492,1.4256619144602851
chr1,10975953,10976400,0,0.6971729925608204,447,1.1210762331838564
chr1,10982321,10982768,0,0.6971729925608204,447,1.1210762331838564
chr1,11257739,11258250,2,1.64403196492862,511,1.3725490196078431
chr1,11263662,11264173,2,1.64403196492862,511,1.3725490196078431
chr1,13207527,13208025,1,1.441767018747301,498,1.0060362173038229
chr1,13213509,13214007,1,1.441767018747301,498,1.0060362173038229
chr1,16621937,16622429,0,1.0249362766776668,492,1.2219959266802445
chr1,16625589,16626081,0,1.0249362766776668,492,1.2219959266802445
chr1,16888859,16889143,0,4.506807007794687,279,0.7067137809187279
chr1,16891899,16892391,1,1.6918907260742164,492,1.2219959266802445
chr1,16897803,16898295,1,1.6918907260742164,492,1.2219959266802445
chr1,22838169,22838668,2,0.6440453627808538,499,1.606425702811245
chr1,23661728,23662083,2,1.4229396266665777,355,1.1299435028248588
chr1,28660759,28661252,1,1.064178921306863,493,1.2195121951219512
chr1,29643265,29643757,1,1.4595510703147196,492,1.2219959266802445
chr1,29649208,29649700,1,1.4595510703147196,492,1.2219959266802445
chr1,30616437,30616930,2,1.7067656845088603,493,1.4227642276422765
chr1,34078357,34078849,1,1.6474819660216307,492,1.2219959266802445
chr1,34084261,34084754,1,1.2282931337013259,493,1.2195121951219512
chr1,34358131,34358630,1,1.0308493030448156,499,1.2048192771084338
chr1,34644652,34645144,1,1.6474819660216307,492,1.2219959266802445
chr1,34650556,34651048,1,1.6474819660216307,492,1.2219959266802445
chr1,36031476,36031969,0,1.482199928420858,493,0.8130081300813008
chr1,36037420,36037913,0,1.503098570313407,493,0.6097560975609756
chr1,36278379,36278862,1,2.7918795537476817,483,1.037344398340249
