chr,start,stop,strand,Cluster,pca_x,pca_y,umap_x,umap_y,tsne_x,tsne_y
chr1,3076926,3077419,-,9,18.158972,3.789326,3.3518596,4.392206,-3.4823852,37.496735
chr1,3175516,3175992,-,9,19.949165,0.64197457,3.6480308,3.3366907,-6.7386065,2.0085726
chr1,4712419,4712910,-,10,18.624165,2.1641536,4.7107387,4.5912175,-11.32385,14.994483
chr1,5049816,5050256,+,7,18.757376,1.5702279,3.76049,6.679244,-23.937046,-4.827534
chr1,5250001,5250494,-,9,21.201004,2.759926,4.20723,3.5236175,-8.8935795,18.816063
chr1,5255976,5256475,-,9,21.913603,2.5698943,4.2868853,3.462952,-8.885361,18.767393
chr1,6293216,6293266,-,4,2.4234762,-0.14120474,13.9022875,13.136506,-43.52925,-25.641628
chr1,9276885,9277325,+,7,17.754593,2.2600834,4.0860376,6.494132,-24.384083,5.8918185
chr1,9380225,9380719,+,10,19.17477,3.4006321,5.0639677,4.899715,-11.993177,17.478458
chr1,9875241,9875722,+,10,16.61384,4.087635,6.6511207,5.392853,-33.267094,32.11018
chr1,10889636,10890128,+,-1,21.469624,-3.8243213,0.8834686,25.172485,29.723276,-19.4922
chr1,10895579,10896071,+,-1,21.469624,-3.8243213,0.88339293,25.172642,30.520077,-18.735966
chr1,10975953,10976400,+,7,18.260496,2.3312652,3.4017498,6.2654266,-18.864447,3.7007694
chr1,10982321,10982768,+,7,18.260496,2.3312652,3.4102335,6.267529,-18.864447,3.7007694
chr1,11257739,11258250,+,-1,19.537512,-1.8554916,-12.432769,3.3892212,6.2390604,-79.72579
chr1,11263662,11264173,+,-1,19.537512,-1.8554916,-12.390536,3.4222047,6.2390604,-79.72579
chr1,13207527,13208025,-,-1,21.274786,-2.4968421,12.354053,-0.031211542,15.560545,-35.265007
chr1,13213509,13214007,-,-1,21.274786,-2.4968421,12.350449,-0.028566912,15.560545,-35.265007
chr1,16621937,16622429,-,0,21.211233,-4.4248796,24.688156,0.47954398,1.8084338,-33.062584
